	Bkurilense	Bspryginii	Bsyl29H	Bsyl30H	Bsyl31H	Bsyl32H	Bsyl35H	Bsyl36H	Bsyl37H	Bsyl38H	Bsyl39H	Bsyl41H	Bsyl466-13	Bsyl466-2	Bsyl466-7B	Bsyl467-10	Bsyl467-2	Bsyl467-7	Bsyl467-9B	Bsyl470-4	Bsyl470-8B	Bsyl470-9	Bsyl476-10	Bsyl476-11	Bsyl476-14	Bsyl476-9	Bsyl477-1	Bsyl477-10	Bsyl477-11	Bsyl477-3	Bsyl500-2	Bsyl500-3	Bsyl500-6	Bsyl501-1	Bsyl501-5	Bsyl501-6	Bsyl501-7	Bsyl502-2	Bsyl502-3	Bsyl502-4	Bsyl502-5	Bsyl505-2	Bsyl505-4	Bsyl505-6	Bsyl506-2	Bsyl506-3	Bsyl506-6	Bsyl508-2	Bsyl508-3	Bsyl508-6	Bsyl54-3	Bsyl54-9	Bsyl550-10	Bsyl550-1B	Bsyl550-3B	Bsyl550-8B	Bsyl552-1	Bsyl552-2	Bsyl552-5	Bsyl553-2B	Bsyl553-3B	Bsyl553-5B	Bsyl554-1	Bsyl554-6	Bsyl554-7	Bsyl555-1	Bsyl555-3B	Bsyl555-5	Bsyl557-2	Bsyl557-7	Bsyl59-1	Bsyl59-4	Bsyl59-5	Bsyl62-8	Bsyl63-2A	Bsyl63-2B	Bsyl63-4	Bsyl63-5	Bsyl72-3	Bsyl72-4	Bsyl73-1	Bsyl73-3	Bsyl73-4
Bkurilense	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bspryginii	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bsyl29H	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bsyl30H	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bsyl31H	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bsyl32H	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bsyl35H	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bsyl36H	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bsyl37H	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bsyl38H	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
